page,href,in_card,context,line,issue
tr/hamam/cikolata-bakimi.html,/tr/hamam/kahve-peeling.html,True,related-services,151,broken
tr/hamam/cikolata-bakimi.html,/tr/hamam/bal-masaji.html,False,,152,broken
tr/hamam/cikolata-bakimi.html,/tr/hamam/yosun-bakimi.html,False,,153,broken
tr/hizmetler/acne-balance.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/acne-balance.html,/en/booking.html,False,,133,broken
tr/hizmetler/anti-aging-pro.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/anti-aging-pro.html,/en/booking.html,False,,133,broken
tr/hizmetler/barrier-repair.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/barrier-repair.html,/en/booking.html,False,,133,broken
tr/hizmetler/brightening-spot.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/brightening-spot.html,/en/booking.html,False,,133,broken
tr/hizmetler/classic-facial.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/classic-facial.html,/en/booking.html,False,,133,broken
tr/hizmetler/collagen-lift.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/collagen-lift.html,/en/booking.html,False,,133,broken
tr/hizmetler/deep-cleanse.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/deep-cleanse.html,/en/booking.html,False,,133,broken
tr/hizmetler/detox-charcoal.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/detox-charcoal.html,/en/booking.html,False,,133,broken
tr/hizmetler/enzyme-peel.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/enzyme-peel.html,/en/booking.html,False,,133,broken
tr/hizmetler/eye-contour.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/eye-contour.html,/en/booking.html,False,,133,broken
tr/hizmetler/glass-skin.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/glass-skin.html,/en/booking.html,False,,133,broken
tr/hizmetler/gold-mask-ritual.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/gold-mask-ritual.html,/en/booking.html,False,,133,broken
tr/hizmetler/hyaluron-hydrate.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/hyaluron-hydrate.html,/en/booking.html,False,,133,broken
tr/hizmetler/led-rejuvenation.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/led-rejuvenation.html,/en/booking.html,False,,133,broken
tr/hizmetler/lip-care.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/lip-care.html,/en/booking.html,False,,133,broken
tr/hizmetler/men-facial.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/men-facial.html,/en/booking.html,False,,133,broken
tr/hizmetler/micro-polish.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/micro-polish.html,/en/booking.html,False,,133,broken
tr/hizmetler/oxygen-boost.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/oxygen-boost.html,/en/booking.html,False,,133,broken
tr/hizmetler/sensitive-soothe.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/sensitive-soothe.html,/en/booking.html,False,,133,broken
tr/hizmetler/vitamin-c-glow.html,/en/skincare/deep-cleanse.html,False,,129,broken
tr/hizmetler/vitamin-c-glow.html,/en/booking.html,False,,133,broken
tr/hizmetler/abhyanga-massage/index.html,../../../en/services/,True,nv-service-stage,126,broken
tr/hizmetler/brazilian-maderotherapy/index.html,../../../en/services/,True,nv-service-stage,126,broken
tr/hizmetler/g5-vibro-sculpting/index.html,../../../en/services/,True,nv-service-stage,132,broken
tr/hizmetler/shirodhara-mind-flow/index.html,../../../en/services/,True,nv-service-stage,132,broken
en/hammam/gelin-hamami.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/hammam/gelin-hamami.html,/en/booking.html,False,,139,broken
en/hammam/index.html,/en/massages/classic-relaxation.html,True,related-services,240,broken
en/hammam/index.html,/en/massages/aromatherapy.html,False,,241,broken
en/hammam/index.html,/en/massages/deep-tissue.html,False,,242,broken
en/hammam/kahve-detox.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/hammam/kahve-detox.html,/en/booking.html,False,,139,broken
en/hammam/kese-kopuk.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/hammam/kese-kopuk.html,/en/booking.html,False,,138,broken
en/hammam/kopuk-masaji.html,/en/skincare/deep-cleanse.html,False,,133,broken
en/hammam/kopuk-masaji.html,/en/booking.html,False,,137,broken
en/hammam/osmanli-ritueli.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/hammam/osmanli-ritueli.html,/en/booking.html,False,,139,broken
en/hammam/santis-pasa.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/hammam/santis-pasa.html,/en/booking.html,False,,139,broken
en/hammam/tuz-peeling.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/hammam/tuz-peeling.html,/en/booking.html,False,,139,broken
en/massages/anne-cocuk.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/anne-cocuk.html,/en/booking.html,False,,138,broken
en/massages/anti-selulit.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/massages/anti-selulit.html,/en/booking.html,False,,139,broken
en/massages/anti-stress.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/anti-stress.html,/en/booking.html,False,,138,broken
en/massages/aromaterapi.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/aromaterapi.html,/en/booking.html,False,,138,broken
en/massages/bali.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/bali.html,/en/booking.html,False,,138,broken
en/massages/bas-boyun-omuz.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/bas-boyun-omuz.html,/en/booking.html,False,,138,broken
en/massages/cift-rituel.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/cift-rituel.html,/en/booking.html,False,,138,broken
en/massages/cift-senkron.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/cift-senkron.html,/en/booking.html,False,,138,broken
en/massages/derin-doku.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/derin-doku.html,/en/booking.html,False,,138,broken
en/massages/isvec-full-body.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/massages/isvec-full-body.html,/en/booking.html,False,,139,broken
en/massages/kids-nazik.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/kids-nazik.html,/en/booking.html,False,,138,broken
en/massages/klasik-rahatlama.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/klasik-rahatlama.html,/en/booking.html,False,,138,broken
en/massages/klasik-sirt.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/klasik-sirt.html,/en/booking.html,False,,138,broken
en/massages/kranyo-sakral.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/massages/kranyo-sakral.html,/en/booking.html,False,,139,broken
en/massages/lenf-drenaj.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/massages/lenf-drenaj.html,/en/booking.html,False,,139,broken
en/massages/myofascial-release.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/massages/myofascial-release.html,/en/booking.html,False,,139,broken
en/massages/refleksoloji.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/massages/refleksoloji.html,/en/booking.html,False,,139,broken
en/massages/shiatsu.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/shiatsu.html,/en/booking.html,False,,138,broken
en/massages/sicak-tas.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/sicak-tas.html,/en/booking.html,False,,138,broken
en/massages/signature-rituel.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/signature-rituel.html,/en/booking.html,False,,138,broken
en/massages/sirt-terapi.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/sirt-terapi.html,/en/booking.html,False,,138,broken
en/massages/spor-terapi.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/spor-terapi.html,/en/booking.html,False,,138,broken
en/massages/tetik-nokta.html,/en/skincare/deep-cleanse.html,False,,135,broken
en/massages/tetik-nokta.html,/en/booking.html,False,,139,broken
en/massages/thai.html,/en/skincare/deep-cleanse.html,False,,134,broken
en/massages/thai.html,/en/booking.html,False,,138,broken
en/products/index.html,/en/massages/classic-relaxation.html,True,related-services,204,broken
en/products/index.html,/en/massages/aromatherapy.html,False,,205,broken
en/products/index.html,/en/massages/deep-tissue.html,False,,206,broken
en/services/acne-balance.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/acne-balance.html,/en/booking.html,False,,135,broken
en/services/anti-aging-pro.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/anti-aging-pro.html,/en/booking.html,False,,135,broken
en/services/barrier-repair.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/barrier-repair.html,/en/booking.html,False,,135,broken
en/services/brightening-spot.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/brightening-spot.html,/en/booking.html,False,,135,broken
en/services/classic-facial.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/classic-facial.html,/en/booking.html,False,,135,broken
en/services/collagen-lift.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/collagen-lift.html,/en/booking.html,False,,135,broken
en/services/deep-cleanse.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/deep-cleanse.html,/en/booking.html,False,,135,broken
en/services/detox-charcoal.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/detox-charcoal.html,/en/booking.html,False,,135,broken
en/services/enzyme-peel.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/enzyme-peel.html,/en/booking.html,False,,135,broken
en/services/eye-contour.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/eye-contour.html,/en/booking.html,False,,135,broken
en/services/glass-skin.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/glass-skin.html,/en/booking.html,False,,135,broken
en/services/gold-mask-ritual.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/gold-mask-ritual.html,/en/booking.html,False,,135,broken
en/services/hyaluron-hydrate.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/hyaluron-hydrate.html,/en/booking.html,False,,135,broken
en/services/led-rejuvenation.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/led-rejuvenation.html,/en/booking.html,False,,135,broken
en/services/lip-care.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/lip-care.html,/en/booking.html,False,,135,broken
en/services/men-facial.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/men-facial.html,/en/booking.html,False,,135,broken
en/services/micro-polish.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/micro-polish.html,/en/booking.html,False,,135,broken
en/services/oxygen-boost.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/oxygen-boost.html,/en/booking.html,False,,135,broken
en/services/sensitive-soothe.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/sensitive-soothe.html,/en/booking.html,False,,135,broken
en/services/vitamin-c-glow.html,/en/skincare/deep-cleanse.html,False,,131,broken
en/services/vitamin-c-glow.html,/en/booking.html,False,,135,broken
en/services/abhyanga-massage/index.html,../../../en/services/,True,nv-service-stage,128,broken
en/services/brazilian-maderotherapy/index.html,../../../en/services/,True,nv-service-stage,128,broken
en/services/g5-vibro-sculpting/index.html,../../../en/services/,True,nv-service-stage,134,broken
en/services/shirodhara-mind-flow/index.html,../../../en/services/,True,nv-service-stage,134,broken
de/hammam/gelin-hamami.html,/de/booking.html,False,,139,broken
de/hammam/kahve-detox.html,/de/booking.html,False,,139,broken
de/hammam/kese-kopuk.html,/de/booking.html,False,,138,broken
de/hammam/kopuk-masaji.html,/de/booking.html,False,,137,broken
de/hammam/osmanli-ritueli.html,/de/booking.html,False,,139,broken
de/hammam/santis-pasa.html,/de/booking.html,False,,139,broken
de/hammam/tuz-peeling.html,/de/booking.html,False,,139,broken
de/massagen/anne-cocuk.html,/de/booking.html,False,,138,broken
de/massagen/anti-selulit.html,/de/booking.html,False,,139,broken
de/massagen/anti-stress.html,/de/booking.html,False,,138,broken
de/massagen/aromaterapi.html,/de/booking.html,False,,138,broken
de/massagen/bali.html,/de/booking.html,False,,138,broken
de/massagen/bas-boyun-omuz.html,/de/booking.html,False,,138,broken
de/massagen/cift-rituel.html,/de/booking.html,False,,138,broken
de/massagen/cift-senkron.html,/de/booking.html,False,,138,broken
de/massagen/derin-doku.html,/de/booking.html,False,,138,broken
de/massagen/isvec-full-body.html,/de/booking.html,False,,139,broken
de/massagen/kids-nazik.html,/de/booking.html,False,,138,broken
de/massagen/klasik-rahatlama.html,/de/booking.html,False,,138,broken
de/massagen/klasik-sirt.html,/de/booking.html,False,,138,broken
de/massagen/kranyo-sakral.html,/de/booking.html,False,,139,broken
de/massagen/lenf-drenaj.html,/de/booking.html,False,,139,broken
de/massagen/myofascial-release.html,/de/booking.html,False,,139,broken
de/massagen/refleksoloji.html,/de/booking.html,False,,139,broken
de/massagen/shiatsu.html,/de/booking.html,False,,138,broken
de/massagen/sicak-tas.html,/de/booking.html,False,,138,broken
de/massagen/signature-rituel.html,/de/booking.html,False,,138,broken
de/massagen/sirt-terapi.html,/de/booking.html,False,,138,broken
de/massagen/spor-terapi.html,/de/booking.html,False,,138,broken
de/massagen/tetik-nokta.html,/de/booking.html,False,,139,broken
de/massagen/thai.html,/de/booking.html,False,,138,broken
de/services/acne-balance.html,/de/booking.html,False,,135,broken
de/services/anti-aging-pro.html,/de/booking.html,False,,135,broken
de/services/barrier-repair.html,/de/booking.html,False,,135,broken
de/services/brightening-spot.html,/de/booking.html,False,,135,broken
de/services/classic-facial.html,/de/booking.html,False,,135,broken
de/services/collagen-lift.html,/de/booking.html,False,,135,broken
de/services/deep-cleanse.html,/de/booking.html,False,,135,broken
de/services/detox-charcoal.html,/de/booking.html,False,,135,broken
de/services/enzyme-peel.html,/de/booking.html,False,,135,broken
de/services/eye-contour.html,/de/booking.html,False,,135,broken
de/services/glass-skin.html,/de/booking.html,False,,135,broken
de/services/gold-mask-ritual.html,/de/booking.html,False,,135,broken
de/services/hyaluron-hydrate.html,/de/booking.html,False,,135,broken
de/services/led-rejuvenation.html,/de/booking.html,False,,135,broken
de/services/lip-care.html,/de/booking.html,False,,135,broken
de/services/men-facial.html,/de/booking.html,False,,135,broken
de/services/micro-polish.html,/de/booking.html,False,,135,broken
de/services/oxygen-boost.html,/de/booking.html,False,,135,broken
de/services/sensitive-soothe.html,/de/booking.html,False,,135,broken
de/services/vitamin-c-glow.html,/de/booking.html,False,,135,broken
de/massagen/abhyanga-massage/index.html,../../../de/untitled/,True,nv-service-stage,125,broken
de/massagen/brasilianische-maderotherapie/index.html,../../../de/untitled/,True,nv-service-stage,119,broken
de/massagen/brasilianische-maderotherapie/index.html,/de/untitled/abhyanga-massage/index.html,True,related-services,156,broken
de/massagen/brasilianische-maderotherapie/index.html,/de/untitled/g5-vibro-sculpting/index.html,False,,157,broken
de/massagen/brasilianische-maderotherapie/index.html,/de/untitled/shirodhara-geistesfluss/index.html,False,,158,broken
de/massagen/g5-vibro-sculpting/index.html,../../../de/untitled/,True,nv-service-stage,125,broken
de/massagen/g5-vibro-sculpting/index.html,/de/untitled/abhyanga-massage/index.html,True,related-services,162,broken
de/massagen/g5-vibro-sculpting/index.html,/de/untitled/brasilianische-maderotherapie/index.html,False,,163,broken
de/massagen/g5-vibro-sculpting/index.html,/de/untitled/shirodhara-geistesfluss/index.html,False,,164,broken
de/massagen/shirodhara-geistesfluss/index.html,../../../de/untitled/,True,nv-service-stage,125,broken
de/massagen/shirodhara-geistesfluss/index.html,/de/untitled/abhyanga-massage/index.html,True,related-services,162,broken
