page,section,lang,has_cluster,action
tr/code-of-silence.html,-,tr,False,pending
tr/dunya-ritueli.html,-,tr,False,pending
tr/iletisim.html,-,tr,False,pending
tr/bilgelik/index.html,bilgelik,tr,False,pending
tr/blog/index.html,blog,tr,False,pending
tr/ekibimiz/index.html,ekibimiz,tr,False,pending
tr/hizmetler/acne-balance.html,hizmetler,tr,True,pending
tr/hizmetler/anti-aging-pro.html,hizmetler,tr,True,pending
tr/hizmetler/barrier-repair.html,hizmetler,tr,True,pending
tr/hizmetler/brightening-spot.html,hizmetler,tr,True,pending
tr/hizmetler/classic-facial.html,hizmetler,tr,True,pending
tr/hizmetler/collagen-lift.html,hizmetler,tr,True,pending
tr/hizmetler/deep-cleanse.html,hizmetler,tr,True,pending
tr/hizmetler/detox-charcoal.html,hizmetler,tr,True,pending
tr/hizmetler/enzyme-peel.html,hizmetler,tr,True,pending
tr/hizmetler/eye-contour.html,hizmetler,tr,True,pending
tr/hizmetler/glass-skin.html,hizmetler,tr,True,pending
tr/hizmetler/gold-mask-ritual.html,hizmetler,tr,True,pending
tr/hizmetler/hyaluron-hydrate.html,hizmetler,tr,True,pending
tr/hizmetler/led-rejuvenation.html,hizmetler,tr,True,pending
