File,Category,Issue,Element
assets\html\components\footer-en.html,Duplicate Components,Duplicate component found: footer-en.html,File Level
components\footer-en.html,Duplicate Components,Duplicate component found: footer-en.html,File Level
assets\html\components\footer.html,Duplicate Components,Duplicate component found: footer.html,File Level
components\footer.html,Duplicate Components,Duplicate component found: footer.html,File Level
assets\html\components\navbar-en.html,Duplicate Components,Duplicate component found: navbar-en.html,File Level
components\navbar-en.html,Duplicate Components,Duplicate component found: navbar-en.html,File Level
404.html,Navigation,Placeholder link (/),"<a class=""home-btn"" href=""/"">Akışa Dön</a>"
bio.html,Phantom Assets,Missing physical file: assets/img/og-santis.webp,"<img alt=""Santis Club"" class=""bio-logo"" decoding=""async"" fetchpriority=""high"" height=""80"" src=""assets/img/og-santis.webp"" width=""80""/>"
index.html,Navigation,Broken internal navigation,"<a href=""/tr/index.html"">TÜRKÇE</a>"
index.html,Navigation,Broken internal navigation,"<a href=""/en/index.html"">ENGLISH</a>"
index.html,Navigation,Broken internal navigation,"<a href=""/de/index.html"">DEUTSCH</a>"
index.html,Navigation,Broken internal navigation,"<a href=""/fr/index.html"">FRANÇAIS</a>"
index.html,Navigation,Broken internal navigation,"<a href=""/ru/index.html"">PYCCKИЙ</a>"
service-detail.html,Navigation,Broken internal navigation,"<a href=""/tr/hamam/index.html"">HAMAM</a>"
service-detail.html,Navigation,Broken internal navigation,"<a href=""/tr/masajlar/index.html"">MASAJLAR</a>"
service-detail.html,Navigation,Broken internal navigation,"<a href=""/tr/cilt-bakimi/index.html"">CİLT BAKIMI</a>"
service-detail.html,Navigation,Broken internal navigation,"<a href=""/tr/galeri/index.html"">GALERİ</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/index.html"">Kategori Ana Sayfası</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/acne-balance.html"">Acne Balance</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/anti-aging-pro.html"">Anti Aging Pro</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/barrier-repair.html"">Barrier Repair</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/brightening-spot.html"">Brightening Spot</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/classic-facial.html"">Classic Facial</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/collagen-lift.html"">Collagen Lift</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/deep-cleanse.html"">Deep Cleanse</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/detox-charcoal.html"">Detox Charcoal</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/enzyme-peel.html"">Enzyme Peel</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/eye-contour.html"">Eye Contour</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/glass-skin.html"">Glass Skin</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/gold-mask-ritual.html"">Gold Mask Ritual</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/hyaluron-hydrate.html"">Hyaluron Hydrate</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/led-rejuvenation.html"">Led Rejuvenation</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/lip-care.html"">Lip Care</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/men-facial.html"">Men Facial</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/micro-polish.html"">Micro Polish</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/oxygen-boost.html"">Oxygen Boost</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/sensitive-soothe.html"">Sensitive Soothe</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/vitamin-c-glow.html"">Vitamin C Glow</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/acne-balance.html"">Acne Balance</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/anti-aging-pro.html"">Anti Aging Pro</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/barrier-repair.html"">Barrier Repair</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/brightening-spot.html"">Brightening Spot</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/classic-facial.html"">Classic Facial</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/collagen-lift.html"">Collagen Lift</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/deep-cleanse.html"">Deep Cleanse</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/detox-charcoal.html"">Detox Charcoal</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/enzyme-peel.html"">Enzyme Peel</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/eye-contour.html"">Eye Contour</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/glass-skin.html"">Glass Skin</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/gold-mask-ritual.html"">Gold Mask Ritual</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/hyaluron-hydrate.html"">Hyaluron Hydrate</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/index.html"">Kategori Ana Sayfası</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/led-rejuvenation.html"">Led Rejuvenation</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/lip-care.html"">Lip Care</a>"
site-haritasi.html,Navigation,Broken internal navigation,"<a href=""/de/hautpflege/men-facial.html"">Men Facial</a>"
